Cow-ID,SonT,HA 1h,HA 2h,SoffT,Event,Event-Score,Moocall-Score,Date/Time of Parturition,Kommentar
3701,10.10.2017 13:22,,,,10.10.2017 21:25,3,1,14.10.2017 12:00,
274,10.10.2017 21:29,11.10.2017 02:04,11.10.2017 03:04,11.10.2017 12:09,11.10.2017 10:00,2,1,15.10.2017 11:05,
2595,11.10.2017 16:10,,,,11.10.2017 20:00,3,0,15.10.2017 17:15,
2595,11.10.2017 20:01,,,,15.10.2017 05:24,9,0,15.10.2017 17:15,TFAB
2595,15.10.2017 05:25,15.10.2017 13:22,15.10.2017 14:22,15.10.2017 18:04,15.10.2017 16:00,1,2,15.10.2017 17:15,
490,16.10.2017 00:15,16.10.2017 03:17,,,,6,,16.10.2017 09:35,
490,,16.10.2017 05:59,16.10.2017 06:59,,16.10.2017 08:00,1,1,16.10.2017 09:35,
278,16.10.2017 10:07,16.10.2017 09:40,,16.10.2017 12:21,16.10.2017 11:24,2,0,22.10.2017 07:40,
2589,16.10.2017 13:05,,,16.10.2017 15:13,16.10.2017 14:19,2,0,16.10.2017 23:30,
366,16.10.2017 23:20,,,,17.10.2017 07:09,4,2,21.10.2017 05:15,
1803,17.10.2017 07:14,,,,17.10.2017 11:21,3,1,23.10.2017 04:40,
1803,17.10.2017 11:22,,,18.10.2017 16:28,18.10.2017 15:24,3,0,23.10.2017 04:40,
1302,19.10.2017 00:15,,,,21.10.2017 01:19,2,1,21.10.2017 16:00,
1302,21.10.2017 01:20,21.10.2017 12:47,21.10.2017 13:47,,21.10.2017 15:30,1,1,21.10.2017 16:00,
1223,21.10.2017 17:22,,,22.10.2017 14:16,22.10.2017 13:15,2,0,26.10.2017 07:50,
1181,22.10.2017 16:10,,,,22.10.2017 23:20,4,2,23.10.2017 20:45,
3944,22.10.2017 23:25,23.10.2017 14:27,,,24.10.2017 15:07,3,0,26.10.2017 13:05,
3944,24.10.2017 15:08,,,,24.10.2017 23:19,4,2,26.10.2017 13:05,
618,24.10.2017 23:21,25.10.2017 03:17,,,,6,,28.10.2017 00:10,
618,,25.10.2017 10:42,25.10.2017 11:42,,25.10.2017 11:19,2,0,28.10.2017 00:10,
3940,25.10.2017 12:13,,,,25.10.2017 15:30,1,1,25.10.2017 17:00,
2631,25.10.2017 23:03,,,,26.10.2017 03:09,2,1,01.11.2017 15:25,
1885,26.10.2017 03:17,,,,26.10.2017 10:00,5,0,10.11.2017 02:15,
1885,26.10.2017 10:01,,,,26.10.2017 14:07,3,1,10.11.2017 02:15,
194,26.10.2017 14:10,26.10.2017 22:37,26.10.2017 23:37,27.10.2017 02:11,27.10.2017 01:10,1,1,27.10.2017 02:00,
2644,27.10.2017 03:06,,,27.10.2017 12:55,27.10.2017 13:01,2,0,02.11.2017 12:25,
1885,27.10.2017 15:11,,,,28.10.2017 10:10,5,0,10.11.2017 02:15,
1885,28.10.2017 10:11,,,29.10.2017 12:23,29.10.2017 11:13,4,2,10.11.2017 02:15,
1168,29.10.2017 15:34,,,,30.10.2017 00:11,2,0,01.11.2017 01:40,
1168,30.10.2017 01:15,,,,30.10.2017 03:30,2,0,01.11.2017 01:40,
1168,30.10.2017 04:12,30.10.2017 04:18,30.10.2017 05:18,,,6,,01.11.2017 01:40,
1168,,30.10.2017 10:58,30.10.2017 12:10,30.10.2017 13:18,30.10.2017 13:14,2,1,01.11.2017 01:40,
2644,30.10.2017 15:10,,,,30.10.2017 22:02,2,0,02.11.2017 12:25,
1168,30.10.2017 23:12,31.10.2017 00:30,31.10.2017 01:30,,,6,,01.11.2017 01:40,
1168,,31.10.2017 09:19,,31.10.2017 12:06,31.10.2017 11:09,2,0,01.11.2017 01:40,
1168,31.10.2017 15:15,31.10.2017 16:49,31.10.2017 17:49,,31.10.2017 19:40,1,2,01.11.2017 01:40,
1931,31.10.2017 20:30,,,,01.11.2017 13:07,4,2,05.11.2017 23:21,
3635,01.11.2017 13:23,,,02.11.2017 08:48,02.11.2017 07:26,4,2,03.11.2017 02:20,
9046,02.11.2017 23:15,03.11.2017 00:27,03.11.2017 01:39,,,6,,05.11.2017 12:05,
9046,,03.11.2017 06:33,03.11.2017 07:33,,,6,,05.11.2017 12:05,
9046,,03.11.2017 13:09,,,,6,,05.11.2017 12:05,
9046,,05.11.2017 06:01,05.11.2017 07:01,05.11.2017 10:40,05.11.2017 09:30,1,0,05.11.2017 12:05,
1925,05.11.2017 14:12,,,,05.11.2017 17:15,3,0,10.11.2017 17:25,
9519,05.11.2017 17:18,,,06.11.2017 08:31,06.11.2017 07:30,1,0,06.11.2017 08:40,
3483,06.11.2017 10:06,,,,07.11.2017 16:30,3,1,11.11.2017 05:50,
3483,07.11.2017 16:31,,,,08.11.2017 13:35,4,2,11.11.2017 05:50,
3483,08.11.2017 13:36,,,,08.11.2017 15:28,4,2,11.11.2017 05:50,
1951,08.11.2017 15:35,,,,08.11.2017 23:21,4,1,09.11.2017 20:05,
1951,08.11.2017 23:22,09.11.2017 14:21,09.11.2017 15:21,,09.11.2017 09:12,6,,09.11.2017 20:05,TFAB
1951,,09.11.2017 18:28,09.11.2017 19:28,09.11.2017 21:08,09.11.2017 19:30,1,0,09.11.2017 20:05,
2656,09.11.2017 23:11,,,,10.11.2017 05:07,4,1,,Study over
2645,10.11.2017 05:11,10.11.2017 06:00,10.11.2017 07:00,,,6,,,Study over 
2645,,10.11.2017 10:55,10.11.2017 11:55,10.11.2017 12:57,,6,,,Study over
2645,,,,10.11.2017 13:09,10.11.2017 12:00,2,1,,Study over
3622,10.11.2017 23:22,11.11.2017 08:53,,11.11.2017 15:16,11.11.2017 14:29,8,1,,Study over
1045,29.09.2017 16:15,,,29.09.2017 20:09,29.09.2017 17:00,2,,04.10.2017 16:20,
3533,30.09.2017 10:20,30.09.2017 14:17,30.09.2017 15:17,30.09.2017 17:59,,6,,30.09.2017 16:35,
1045,30.09.2017 06:00,,,01.10.2017 14:23,,6,,04.10.2017 16:20,
2578,02.10.2017 01:00,02.10.2017 02:03,02.10.2017 03:03,02.10.2017 04:10,02.10.2017 02:00,1,,02.10.2017 02:45,
1092,02.10.2017 05:00,,,02.10.2017 12:18,02.10.2017 11:00,2,,10.10.2017 10:55,
3578,02.10.2017 13:00,02.10.2017 19:19,,,,6,,06.10.2017 23:45,
3578,,02.10.2017 22:48,,,03.10.2017 03:00,2,,06.10.2017 23:45,
3578,03.10.2017 08:10,04.10.2017 21:02,04.10.2017 22:02,,,6,,06.10.2017 23:45,
3578,,05.10.2017 02:36,05.10.2017 03:36,,,6,,06.10.2017 23:45,
3578,,05.10.2017 16:20,,,,6,,06.10.2017 23:45,
3578,,06.10.2017 03:47,,,,6,,06.10.2017 23:45,
3578,,06.10.2017 23:49,,06.10.2017 01:23,06.10.2017 22:15,1,,06.10.2017 23:45,
3578,,,,07.10.2017 10:53,07.10.2017 10:00,20,2,06.10.2017 23:45,
2577,07.10.2017 15:38,07.10.2017 16:37,07.10.2017 17:36,,07.10.2017 17:00,2,,07.10.2017 19:00,
8872,07.10.2017 18:29,,,,07.10.2017 20:00,2,0,10.10.2017 00:40,
108,07.10.2017 05:00,,,,07.10.2017 10:00,2,1,09.10.2017 16:00,
2590,07.10.2017 21:02,08.10.2017 19:12,,,,6,,11.10.2017 15:15,
2590,,09.10.2017 00:46,,,10.10.2017 22:10,3,2,11.10.2017 15:15,
2590,10.10.2017 22:11,,,,11.10.2017 00:07,4,2,11.10.2017 15:15,
2585,10.10.2017 00:08,,,,13.10.2017 04:05,4,2,18.10.2017 13:10,
1899,13.10.2017 04:20,,,,13.10.2017 07:32,3,1,17.10.2017 15:00,
1899,13.10.2017 07:33,,,,13.10.2017 11:16,2,1,17.10.2017 15:00,
9065,13.10.2017 12:16,,,,14.10.2017 07:15,3,1,14.10.2017 23:00,
9065,14.10.2017 07:16,14.10.2017 22:42,,,14.10.2017 22:15,1,1,14.10.2017 23:00,
1899,15.10.2017 00:12,15.10.2017 05:26,15.10.2017 06:26,,,6,,17.10.2017 15:00,
1899,,15.10.2017 09:53,15.10.2017 10:53,,,6,,17.10.2017 15:00,
1899,,15.10.2017 14:18,15.10.2017 15:18,,15.10.2017 12:18,3,1,17.10.2017 15:00,
1899,15.10.2017 12:19,,,,15.10.2017 23:30,3,0,17.10.2017 15:00,
1899,15.10.2017 23:31,16.10.2017 08:37,16.10.2017 09:37,,17.10.2017 09:21,3,1,17.10.2017 15:00,
1899,17.10.2017 11:22,17.10.2017 09:36,17.10.2017 10:25,,,6,,17.10.2017 15:00,
